url/_source,url/_text,url,pageUrl
/doi/full/10.1080/19942060.2016.1224735,Hull shape optimization for autonomous underwater vehicles using CFD,http://www.tandfonline.com/doi/full/10.1080/19942060.2016.1224735,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1163/156855307780132072,A practical and useful autonomous towed vehicle for port area inspection,http://www.tandfonline.com/doi/abs/10.1163/156855307780132072,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.3846/16484142.2015.1080760,Sustainability effects of next-generation intersection control for autonomous vehicles,http://www.tandfonline.com/doi/abs/10.3846/16484142.2015.1080760,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1080/1206212X.2010.11441971,Real-Time Lane and Vehicle Detection Based on A Single Camera Model,http://www.tandfonline.com/doi/abs/10.1080/1206212X.2010.11441971,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1163/156855302317413709,Development of autonomous underwater vehicles in Japan,http://www.tandfonline.com/doi/abs/10.1163/156855302317413709,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/10447318.2015.1070549,Investigating the Importance of Trust on Adopting an Autonomous Vehicle,http://www.tandfonline.com/doi/full/10.1080/10447318.2015.1070549,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.4103/0256-4602.90757,A Review Note for Position Control of an Autonomous Underwater Vehicle,http://www.tandfonline.com/doi/abs/10.4103/0256-4602.90757,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1080/00207540110118668,Conceptualizing tools for autonomous vehicle storage and retrieval systems,http://www.tandfonline.com/doi/abs/10.1080/00207540110118668,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1080/03052150212727,Parameter identification of autonomous vehicles using multi-objective optimization,http://www.tandfonline.com/doi/abs/10.1080/03052150212727,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
/doi/abs/10.1080/18756891.2015.1084710,Intelligent Transportation System with Diverse Semi-Autonomous Vehicles,http://www.tandfonline.com/doi/abs/10.1080/18756891.2015.1084710,http://www.tandfonline.com/action/doSearch?AllField=autonomous+vehicle&content=standard&countTerms=true&target=default&startPage=&sortBy=&pageSize=50
