url/_text,url,pageUrl
Neural inverse reinforcement learning in autonomous navigation,http://www.sciencedirect.com/science/article/pii/S0921889015301652,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Incremental texture mapping for autonomous driving,http://www.sciencedirect.com/science/article/pii/S0921889016300811,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Towards generalization of experimental results for autonomous robots,http://www.sciencedirect.com/science/article/pii/S0921889016305000,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Reactive control architecture for mobile robot autonomous navigation,http://www.sciencedirect.com/science/article/pii/S0921889016305413,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Model reference adaptive PID control with anti-windup compensator for an autonomous underwater vehicle,http://www.sciencedirect.com/science/article/pii/S0921889015303213,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Incremental scenario representations for autonomous driving using geometric polygonal primitives,http://www.sciencedirect.com/science/article/pii/S0921889016300604,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Hybrid-state driven autonomous control for planar bipedal locomotion,http://www.sciencedirect.com/science/article/pii/S0921889015300695,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Formal verification of ethical choices in autonomous systems,http://www.sciencedirect.com/science/article/pii/S0921889015003000,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
Observer-based neural adaptive formation control of autonomous surface vessels with limited torque,http://www.sciencedirect.com/science/article/pii/S0921889016000129,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
On comprehensive cascade control strategy considering a class of overactuated autonomous non-rigid space systems with model uncertainties,http://www.sciencedirect.com/science/article/pii/S0921889015301056,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=571&sort=r&filterType=&_chunk=1&hitCount=571&PREV_LIST=0&NEXT_LIST=2&view=c&md5=2605bac4c086b1e83c13ef8590bd5468&_ArticleListID=-1058611117&chunkSize=200&sisr_search=&TOTAL_PAGES=3&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomPrev=%3C%3C+Previous&displayPerPageFlag=f&resultsPerPage=200
