url/_source,url/_text,url,pageUrl
/doi/full/10.1080/13548506.2014.997763,The acute psychobiological impact of the intensive care experience on relatives,http://www.tandfonline.com/doi/full/10.1080/13548506.2014.997763,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1040031,How religiosity shapes health perceptions and behaviors of Latina immigrants: is it an enabling or prohibitive factor?,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1040031,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1040032,"Relationship between sleep disturbance, depression and anxiety in the 12 months following a cardiac event",http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1040032,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1032309,Mental health of Chinese primary care patients with lower urinary tract symptoms,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1032309,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1054843,Impact of outpatient non-myeloablative haematopoietic stem cell transplantation in quality of life vs. conventional therapy,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1054843,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1009377,The pain of low status: the relationship between subjective socio-economic status and analgesic prescriptions in a Scottish community sample,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1009377,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1009378,The role of social support in women’s health and recovery processes,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1009378,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1034733,An online study combining the constructs from the theory of planned behaviour and protection motivation theory in predicting intention to test for chlamydia in two testing contexts,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1034733,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1020317,Coping styles in adults with cystic fibrosis: implications for emotional and social quality of life,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1020317,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/13548506.2015.1017510,Social cognitive theory correlates of moderate-intensity exercise among adults with type 2 diabetes,http://www.tandfonline.com/doi/full/10.1080/13548506.2015.1017510,http://www.tandfonline.com/action/doSearch?SeriesKey=cphm20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
