url/_text,url,pageUrl
"Deconstructing myths, building alliances: a networking model to enhance tobacco control in hospital mental health settings",http://www.sciencedirect.com/science/article/pii/S0213911116300802,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Nothing without vision! The views of consumers and mental health nurses about consumer involvement in mental health nursing education,http://www.sciencedirect.com/science/article/pii/S1322769615000268,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Seclusion and restraint use in adult inpatient mental health care: An Australian perspective,http://www.sciencedirect.com/science/article/pii/S1322769615000219,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Manikin Simulation in Mental Health Nursing Education: An Integrative Review,http://www.sciencedirect.com/science/article/pii/S187613991630055X,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Optimism and attributional style impact on the relationship between general insecurity and mental health,http://www.sciencedirect.com/science/article/pii/S0191886916307462,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Women’s use of online resources and acceptance of e-mental health tools during the perinatal period,http://www.sciencedirect.com/science/article/pii/S1386505616301770,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"Volume and social context of physical activity in association with mental health, anxiety and depression among youth",http://www.sciencedirect.com/science/article/pii/S0091743516302638,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"Moderate to severe psychological distress, disability, and non-receipt of past year visits to a mental health professional",http://www.sciencedirect.com/science/article/pii/S1936657416300887,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"A tool for help or harm? How associations between social networking use, social support, and mental health differ for sexual minority and heterosexual youth",http://www.sciencedirect.com/science/article/pii/S0747563216305416,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Expanding a measure of mental health literacy: Development and validation of a multicomponent mental health literacy measure,http://www.sciencedirect.com/science/article/pii/S016517811530634X,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Inability to access health and social services associated with mental health among people who inject drugs in a Canadian setting,http://www.sciencedirect.com/science/article/pii/S0376871616308730,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
School mental health content in state in-service K-12 teaching standards in the United States,http://www.sciencedirect.com/science/article/pii/S0742051X16302669,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"The Care Programme Approach, sexual violence and clinical practice in mental health",http://www.sciencedirect.com/science/article/pii/S1752928X16300798,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
The Big Five personality dimensions and mental health: The mediating role of alexithymia,http://www.sciencedirect.com/science/article/pii/S1876201816301034,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Service providers’ experiences of using a telehealth network 12 months after digitisation of a large Australian rural mental health service,http://www.sciencedirect.com/science/article/pii/S1386505616300910,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Using standardized patients in enhancing undergraduate students' learning experience in mental health nursing,http://www.sciencedirect.com/science/article/pii/S0260691716301526,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Reliability and Validity of the List of Mental Health Items (LISMEN),http://www.sciencedirect.com/science/article/pii/S0920996416301979,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Text messaging interventions for individuals with mental health disorders including substance use: A systematic review,http://www.sciencedirect.com/science/article/pii/S0165178115306004,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Mental health and psychosocial interventions for children and adolescents in street situations in low- and middle-income countries: A systematic review,http://www.sciencedirect.com/science/article/pii/S0145213416301855,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Evolve Therapeutic Services: A 5-year outcome study of children and young people in out-of-home care with complex and extreme behavioural and mental health problems,http://www.sciencedirect.com/science/article/pii/S0190740916302651,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Nursing students' reflections on the learning experience of a unique mental health clinical placement,http://www.sciencedirect.com/science/article/pii/S0260691716301769,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Interventions for Adolescent Mental Health: An Overview of Systematic Reviews,http://www.sciencedirect.com/science/article/pii/S1054139X16301665,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Staff Perceptions of Substance Use Disorder Treatment in VA Primary Care–Mental Health Integrated Clinics,http://www.sciencedirect.com/science/article/pii/S0740547216300976,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"Effectiveness of MH-Guru, a brief online mental health program for the workplace: A randomised controlled trial",http://www.sciencedirect.com/science/article/pii/S2214782915300269,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
"The effects of optimism and gratitude on adherence, functioning and mental health following an acute coronary syndrome",http://www.sciencedirect.com/science/article/pii/S016383431630069X,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058661191&_st=13&filterType=&searchtype=a&originPage=rslt_list&_origin=&_mlktType=&md5=ec13f7d3cf9c67b2426c5885cb1a7977
Caregiving and mental health among workers: Longitudinal evidence from a large cohort of adults in Thailand,http://www.sciencedirect.com/science/article/pii/S2352827316000070,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=1000&sort=r&filterType=&_chunk=0&hitCount=53212&NEXT_LIST=1&view=c&md5=125711c0fcf2a1113c3eab9bd83cbd43&_ArticleListID=-1058661191&chunkSize=25&sisr_search=&TOTAL_PAGES=2129&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomNext=Next+%3E%3E&displayPerPageFlag=f&resultsPerPage=25
Interactive effect of negative affectivity and anxiety sensitivity in terms of mental health among Latinos in primary care,http://www.sciencedirect.com/science/article/pii/S0165178116300592,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=1000&sort=r&filterType=&_chunk=0&hitCount=53212&NEXT_LIST=1&view=c&md5=125711c0fcf2a1113c3eab9bd83cbd43&_ArticleListID=-1058661191&chunkSize=25&sisr_search=&TOTAL_PAGES=2129&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomNext=Next+%3E%3E&displayPerPageFlag=f&resultsPerPage=25
Association Between Quality Measures and Mortality in Individuals With Co-Occurring Mental Health and Substance Use Disorders,http://www.sciencedirect.com/science/article/pii/S0740547216300678,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=tag&searchtype=a&refSource=search&_st=13&count=1000&sort=r&filterType=&_chunk=0&hitCount=53212&NEXT_LIST=1&view=c&md5=125711c0fcf2a1113c3eab9bd83cbd43&_ArticleListID=-1058661191&chunkSize=25&sisr_search=&TOTAL_PAGES=2129&zone=exportDropDown&citation-type=RIS&format=cite-abs&bottomPaginationBoxChanged=&bottomNext=Next+%3E%3E&displayPerPageFlag=f&resultsPerPage=25
