url/_source,url/_text,url,pageUrl
/doi/full/10.1080/15512169.2015.1047098,Internationalizing “Engaged” Learning: Enhancing Travel Study in Cuba,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1047098,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1069197,Does Civic Education Matter?: The Power of Long-Term Observation and the Experimental Method,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1069197,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1063433,Assessment Feedback using Screencapture Technology in Political Science,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1063433,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1103145,Editorial Board EOV,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1103145,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1060886,Understanding Public Policy Making through the Work of Committees: Utilizing a Student-Led Congressional Hearing Simulation,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1060886,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1066684,Promoting Civic Agency Through Civic-Engagement Activities: A Guide for Instructors New to Civic-Engagement Pedagogy,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1066684,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1069198,Lecture Videos in Online Courses: A Follow-Up,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1069198,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1072051,High School Civics Textbooks: What We Know Versus What We Teach about American Politics and Public Policy,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1072051,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1068645,"Review of Politics in Popular Movies: Rhetorical Takes on Horror, War, Thriller, and Sci-Fi Films",http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1068645,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1065748,"Political Simulations: What We Know, What We Think We Know, and What We Still Need to Know",http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1065748,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1068646,"Review of Challenges to Democratic Participation: Antipolitics, Deliberative Democracy, and Pluralism",http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1068646,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1103570,Contributors,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1103570,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
/doi/full/10.1080/15512169.2015.1030502,Assessing a Broad Teaching Approach: The Impact of Combining Active Learning Methods on Student Performance in Undergraduate Peace and Conflict Studies,http://www.tandfonline.com/doi/full/10.1080/15512169.2015.1030502,http://www.tandfonline.com/action/doSearch?SeriesKey=upse20&content=standard&countTerms=true&dateRange=%5B20140101+TO+*%7D&target=default&startPage=&sortBy=&pageSize=50
